student_id,branch,cgpa,backlogs,placed,company,package_lpa,company_tier,placement_year,offers_count
1001,CSE,8.58,0,Yes,Accenture,4.4,Tier 2,2022,1
1002,CSE,8.37,0,Yes,TCS,6.8,Tier 2,2022,1
1003,CSE,6.84,0,Yes,TCS,7.8,Tier 2,2022,1
1004,CSE,5.53,0,Yes,Local Startup Inc,4.4,Tier 3,2022,1
1005,CSE,6.95,0,No,,0,,2022,0
1006,CSE,7.62,0,No,,0,,2022,0
1007,CSE,7.03,3,No,,0,,2022,0
1008,CSE,5.85,0,No,,0,,2022,0
1009,CSE,5.59,0,No,,0,,2022,0
1010,CSE,5.72,0,Yes,Local Startup Inc,4.2,Tier 3,2022,1
1011,CSE,7.92,0,No,,0,,2022,0
1012,CSE,6.4,0,Yes,NextGen Systems,4.4,Tier 3,2022,1
1013,CSE,6.3,0,No,,0,,2022,0
1014,CSE,5.99,0,Yes,NextGen Systems,3.9,Tier 3,2022,3
1015,CSE,7.38,1,Yes,Wipro,6.0,Tier 2,2022,2
1016,CSE,8.16,0,No,,0,,2022,0
1017,CSE,5.6,0,Yes,NextGen Systems,3.4,Tier 3,2022,2
1018,CSE,6.48,0,Yes,RegionalTech Solutions,4.0,Tier 3,2022,1
1019,CSE,5.89,0,No,,0,,2022,0
1020,CSE,7.83,0,Yes,TCS,4.8,Tier 2,2022,2
1021,CSE,8.09,0,Yes,Cognizant,6.6,Tier 2,2022,1
1022,CSE,8.6,3,No,,0,,2022,0
1023,CSE,8.95,1,Yes,Capgemini,5.7,Tier 2,2022,1
1024,CSE,7.33,0,Yes,Capgemini,8.4,Tier 2,2022,1
1025,CSE,7.09,0,No,,0,,2022,0
1026,CSE,8.49,2,Yes,Accenture,5.0,Tier 2,2022,1
1027,CSE,6.74,3,No,,0,,2022,0
1028,CSE,7.66,2,No,,0,,2022,0
1029,CSE,6.67,0,No,,0,,2022,0
1030,CSE,7.24,1,Yes,Accenture,8.7,Tier 2,2022,1
1031,CSE,8.29,0,No,,0,,2022,0
1032,CSE,7.85,1,Yes,Accenture,4.8,Tier 2,2022,1
1033,CSE,5.72,3,No,,0,,2022,0
1034,CSE,6.94,1,No,,0,,2022,0
1035,CSE,6.94,1,Yes,Cognizant,4.6,Tier 2,2022,2
1036,CSE,6.12,0,Yes,Local Startup Inc,3.7,Tier 3,2022,1
1037,CSE,8.92,0,Yes,Adobe,22.1,Tier 1,2022,1
1038,CSE,7.28,1,Yes,Accenture,6.9,Tier 2,2022,1
1039,CSE,7.25,0,Yes,Wipro,6.1,Tier 2,2022,1
1040,CSE,8.44,0,Yes,TCS,4.3,Tier 2,2022,1
1041,CSE,6.93,0,Yes,Infosys,6.1,Tier 2,2022,1
1042,CSE,5.24,0,Yes,RegionalTech Solutions,4.1,Tier 3,2022,2
1043,CSE,7.51,1,Yes,TCS,8.6,Tier 2,2022,1
1044,CSE,6.81,1,Yes,Infosys,8.3,Tier 2,2022,1
1045,CSE,7.74,0,Yes,Cognizant,5.4,Tier 2,2022,2
1046,CSE,6.82,1,No,,0,,2022,0
1047,CSE,7.54,0,Yes,TCS,6.9,Tier 2,2022,1
1048,CSE,5.62,0,No,,0,,2022,0
1049,CSE,8.56,0,No,,0,,2022,0
1050,CSE,7.71,0,No,,0,,2022,0
1051,CSE,7.82,0,Yes,TCS,8.7,Tier 2,2022,1
1052,CSE,7.54,0,Yes,TCS,6.1,Tier 2,2022,1
1053,CSE,6.04,2,Yes,Local Startup Inc,3.0,Tier 3,2022,2
1054,CSE,6.53,0,No,,0,,2022,0
1055,CSE,5.0,2,Yes,NextGen Systems,4.5,Tier 3,2022,1
1056,CSE,7.87,0,Yes,Wipro,8.4,Tier 2,2022,1
1057,CSE,7.97,0,No,,0,,2022,0
1058,CSE,6.47,1,No,,0,,2022,0
1059,CSE,8.8,0,No,,0,,2022,0
1060,CSE,7.07,0,No,,0,,2022,0
1061,CSE,7.75,0,Yes,Wipro,5.4,Tier 2,2022,1
1062,CSE,6.98,0,Yes,Wipro,6.5,Tier 2,2022,1
1063,CSE,7.18,0,Yes,TCS,4.0,Tier 2,2022,2
1064,CSE,9.6,1,Yes,Capgemini,6.2,Tier 2,2022,1
1065,CSE,6.81,0,No,,0,,2022,0
1066,CSE,5.84,1,Yes,RegionalTech Solutions,3.7,Tier 3,2022,1
1067,CSE,7.54,0,No,,0,,2022,0
1068,CSE,7.66,1,No,,0,,2022,0
1069,CSE,7.81,0,Yes,Cognizant,8.9,Tier 2,2022,2
1070,CSE,6.75,1,No,,0,,2022,0
1071,CSE,7.25,1,Yes,Infosys,7.7,Tier 2,2022,1
1072,CSE,7.85,0,No,,0,,2022,0
1073,CSE,7.91,1,Yes,TCS,5.9,Tier 2,2022,2
1074,CSE,5.12,0,No,,0,,2022,0
1075,CSE,7.97,0,No,,0,,2022,0
